Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Colorectal cancer	10/86	5.347772e-20	7.861225e-18	0	0	3.274013e+02	1.452844e+04	SMAD4;MSH2;PIK3CA;APC;CCND1;MYC;BRAF;KRAS;MLH1;TP53
KEGG_2021_Human	Endometrial cancer	8/58	1.292940e-16	9.503111e-15	0	0	3.189120e+02	1.166722e+04	PIK3CA;APC;CCND1;MYC;BRAF;KRAS;MLH1;TP53
KEGG_2021_Human	Pathways in cancer	12/531	1.742067e-15	8.152014e-14	0	0	7.500193e+01	2.548843e+03	SMAD4;MSH2;PIK3CA;APC;CCND1;MYC;BRAF;KRAS;MLH1;MMP9;TP53;VEGFA
KEGG_2021_Human	Gastric cancer	9/149	2.541399e-15	8.152014e-14	0	0	1.417286e+02	4.762939e+03	SMAD4;PIK3CA;APC;CCND1;MYC;BRAF;KRAS;MLH1;TP53
KEGG_2021_Human	Bladder cancer	7/41	2.772794e-15	8.152014e-14	0	0	3.733583e+02	1.251457e+04	CCND1;MYC;BRAF;KRAS;MMP9;TP53;VEGFA
KEGG_2021_Human	Chronic myeloid leukemia	7/76	2.651534e-13	5.568222e-12	0	0	1.836509e+02	5.318247e+03	SMAD4;PIK3CA;CCND1;MYC;BRAF;KRAS;TP53
KEGG_2021_Human	Pancreatic cancer	7/76	2.651534e-13	5.568222e-12	0	0	1.836509e+02	5.318247e+03	SMAD4;PIK3CA;CCND1;BRAF;KRAS;TP53;VEGFA
KEGG_2021_Human	Hepatocellular carcinoma	8/168	8.536022e-13	1.568494e-11	0	0	9.911000e+01	2.754199e+03	SMAD4;PIK3CA;APC;CCND1;MYC;BRAF;KRAS;TP53
KEGG_2021_Human	Proteoglycans in cancer	8/205	4.256595e-12	6.952439e-11	0	0	8.034518e+01	2.103642e+03	PIK3CA;CCND1;MYC;BRAF;KRAS;MMP9;TP53;VEGFA
KEGG_2021_Human	Breast cancer	7/147	2.983801e-11	4.386187e-10	0	0	9.019091e+01	2.185798e+03	PIK3CA;APC;CCND1;MYC;BRAF;KRAS;TP53
KEGG_2021_Human	Hepatitis B	7/162	5.928131e-11	7.922139e-10	0	0	8.140117e+01	1.916894e+03	SMAD4;PIK3CA;MYC;BRAF;KRAS;MMP9;TP53
